ُ؛؟Tag,Chromophore,Solvent,Absorption max (nm),Emission max (nm),Lifetime (ns),Quantum yield,log(e/mol-1 dm3 cm-1),abs FWHM (cm-1),emi FWHM (cm-1),abs FWHM (nm),emi FWHM (nm),Molecular weight (g mol-1),Reference
22,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CC#N,418,521,5.6,NaN,NaN,NaN,NaN,NaN,NaN,309.28616,DOI: 10.1021/j100248a024
23,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCO,421,531,3.4,NaN,NaN,NaN,NaN,NaN,NaN,309.28616,DOI: 10.1021/j100248a024
24,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,OCC(O)CO,434,546,3.5,NaN,NaN,NaN,NaN,NaN,NaN,309.28616,DOI: 10.1021/j100248a024
25,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,C1CCCCC1,382,439,4.2,NaN,NaN,NaN,NaN,NaN,NaN,283.24828,DOI: 10.1021/j100248a024
26,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CC#N,405,510,5.6,NaN,NaN,NaN,NaN,NaN,NaN,283.24828,DOI: 10.1021/j100248a024
27,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CCO,408,515,5.1,NaN,NaN,NaN,NaN,NaN,NaN,283.24828,DOI: 10.1021/j100248a024
28,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,365,465,5.2,NaN,NaN,NaN,NaN,NaN,NaN,229.15664,DOI: 10.1021/j100248a024
29,CCN(CC)c1ccc2cc(-c3nc4ccccc4s3)c(=O)oc2c1,CC#N,454,501,3.2,NaN,NaN,NaN,NaN,NaN,NaN,350.44092,DOI: 10.1021/j100248a024
30,CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1,CC#N,403,480,2.8,NaN,NaN,NaN,NaN,NaN,NaN,347.41674,DOI: 10.1021/j100248a024
31,CCNc1cc2oc(=O)cc(C)c2cc1C,CC#N,354,420,3.5,NaN,NaN,NaN,NaN,NaN,NaN,217.2671,DOI: 10.1021/j100248a024
32,CCNc1cc2oc(=O)cc(C(F)(F)F)c2cc1C,CC#N,383,481,7.7,NaN,NaN,NaN,NaN,NaN,NaN,271.23728,DOI: 10.1021/j100248a024
33,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CO,530,555,3.7,NaN,NaN,NaN,NaN,NaN,NaN,443.56514,doi/10.1021/j100535a016
