dye_raw,eco_class,record_count,avg_pce_percent,max_pce_percent,avg_jsc,avg_voc,avg_ff,example_name,example_smiles,common_semiconductors,common_redox_couples,common_substrates,sources,screening_reasons,example_dois,example_titles
On the day of DSC fabrication,metal_free_candidate_uncertain,19,9.5078,100.0,2.6289,503.2222,69.1111,,,TiO2,,,rsc,no_heavy_metal_keyword_detected,10.1039/C5RA25447G,Combining phosphonic acid-functionalized anchoring ligands with asymmetric ancillary ligands in bis(diimine)copper( i ) dyes for dye-sensitized solar cells  
3f,metal_free_candidate_uncertain,18,6.8194,100.0,1.31,346.7637,0.4118,,,TiO2,,FTO,elsevier,no_heavy_metal_keyword_detected; organic_keyword:carbazole,10.1016/S1010-6030(99)00235-X; 10.1016/j.jphotochem.2009.01.017; 10.1016/j.tet.2018.04.077; 10.1016/j.tetlet.2007.10.107,"Application of indoline dyes attached with strongly electron-withdrawing carboxylated indan-1,3-dione analogues linked with a hexylthiophene ring to dye-sensitized solar cells | Photovoltaic performance of dye-sensitized solar cells based on a series of new-type donor–acceptor π-conjugated sensitizer, benzofuro[2,3-c]oxazolo[4,5-a]carbazole fluorescent dyes | Preparation and application of new ruthenium(II) polypyridyl complexes as sensitizers for nanocrystalline TiO2"
P. glaucum,metal_free_candidate_uncertain,2,41.915,83.33,44.36,306.425,81.985,,,TiO2,I−/I3−,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.carbon.2016.04.012,Inkjet-printed graphene electrodes for dye-sensitized solar cells
C. pulcherrima,metal_free_candidate_uncertain,5,38.4725,81.81,45.725,350.3275,81.395,,,TiO2,I−/I3−,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.carbon.2016.04.012,Inkjet-printed graphene electrodes for dye-sensitized solar cells
P1,metal_free_organic_candidate,290,1.7096,63.0,5.1931,85.1208,31.6335,"4-(Bis-{4-[5-(2,2-dicyano-vinyl)-thiophene-2-yl]-phenyl}-amino)-benzoic acid",OC(=O)c1ccc(cc1)N(c2ccc(cc2)c3sc(cc3)C=C(C#N)C#N)c4ccc(cc4)c5sc(cc5)C=C(C#N)C#N,0.53; 0.81; NiO; SnO2; TiO2,I-/I3-; I3−/I−; I−/I3-; I−/I3−; triiodide/iodide,FTO; ITO; NiO; glass,elsevier; rsc,metal_free_smiles_screen; organic_keyword:cyanoacrylic|thiophene; organic_keyword:thiophene,10.1016/j.ccr.2015.03.020; 10.1016/j.dyepig.2011.04.010; 10.1016/j.dyepig.2018.12.042; 10.1016/j.dyepig.2019.108032; 10.1016/j.dyepig.2019.108140,"A comprehensive comparison of dye-sensitized NiO photocathodes for solar energy conversion   | A new family of A 2 B 2 type porphyrin derivatives: synthesis, physicochemical characterization and their application in dye -sensitized solar cells   | A polymer and graphene layer to increase dye regeneration and suppress back electron transfer in dye sensitized solar cells  "
L0,metal_free_organic_candidate,26,12.8412,60.0,5.53,141.1392,27.416,4-(diphenylamino)phenylcyanoacrylic acid,OC(=O)C(=Cc1ccc(cc1)N(c2ccccc2)c3ccccc3)C#N,TiO2; titania,I3−/I−; iodide/triiodide,FTO,elsevier; rsc,metal_free_smiles_screen; organic_keyword:cyanoacrylic,10.1016/j.orgel.2013.05.011; 10.1016/j.solener.2015.03.012; 10.1016/j.synthmet.2014.08.005; 10.1039/B812154K; 10.1039/C1EE01196K,A novel parallel configuration of dye -sensitized solar cells with double-sided anodic nanotube arrays   | Comparative study on photovoltaic properties of imidazole-based dyes containing varying electron acceptors in dye-sensitized solar cells | First application of the HETPHEN concept to new heteroleptic bis(diimine) copper( i ) complexes as sensitizers in dye sensitized solar cells  
D-π-A Image 20,metal_free_candidate_uncertain,1,55.0,55.0,10.9,712.0,0.71,,,TiO2,I3−/I−,glass,elsevier,no_heavy_metal_keyword_detected,10.1016/j.dyepig.2017.11.045,Strategies to improve the performance of metal-free dye-sensitized solar cells
"375 , 475 , 500 , 520",metal_free_candidate_uncertain,4,15.8925,54.0,5.3,,,,,TiO2,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.renene.2018.07.101,Improving spectral modification for applications in solar cells: A review
PL dye with pH 3.0,metal_free_candidate_uncertain,3,15.5333,46.2,20.81,279.0,0.55,,,TiO2,,FTO,elsevier,no_heavy_metal_keyword_detected,10.1016/j.saa.2015.03.107,Stability and efficiency of dye-sensitized solar cells based on papaya-leaf dye
D149,metal_free_organic_candidate,383,3.1383,45.0,7.2821,68.1404,23.5508,"5-[[4-[4-(2,2-Diphenylethenyl)phenyl]-1,2,3-3a,4,8b-hexahydrocyclopent[b]indol-7-yl]methylene]-2-(3-ethyl-4-oxo-2-thioxo-5-thiazolidinylidene)-4-oxo-3-thiazolidineacetic acid",CCN1C(=S)SC(/C1=O)=C/2SC(=C/c3ccc4N([C@@H]5CCC[C@@H]5c4c3)c6ccc(cc6)C=C(c7ccccc7)c8ccccc8)/C(=O)N2CC(O)=O,CL - 120 s; CL-20 s; CL-60 s; SnO2; TiO2,I3−/I−; I−/I3-; I−/I3−; iodide/triiodide,( % ); Asahi; FTO; Glass / FTO; Glass / ITO,elsevier; rsc,metal_free_smiles_screen; organic_keyword:indoline,10.1016/j.ceramint.2013.07.065; 10.1016/j.ceramint.2019.12.045; 10.1016/j.dyepig.2011.06.017; 10.1016/j.dyepig.2013.07.011; 10.1016/j.dyepig.2014.10.008,"A carbon nanotube-based transparent conductive substrate for flexible ZnO dye-sensitized solar cells | A comparative study on indoline dye- and ruthenium complex-sensitized hierarchically structured ZnO solar cells | A novel 2,7-diaminofluorene-based organic dye for a dye-sensitized solar cell"
H. sabdariffa,metal_free_candidate_uncertain,2,22.42,44.44,26.705,296.295,72.715,,,TiO2,I−/I3−,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.carbon.2016.04.012,Inkjet-printed graphene electrodes for dye-sensitized solar cells
PL dye with pH 5.5,metal_free_candidate_uncertain,3,12.1933,36.4,17.8833,242.6667,0.52,,,TiO2,,FTO,elsevier,no_heavy_metal_keyword_detected,10.1016/j.saa.2015.03.107,Stability and efficiency of dye-sensitized solar cells based on papaya-leaf dye
PL dye with pH 5.0,metal_free_candidate_uncertain,3,11.86,35.3,15.5067,297.4667,0.51,,,TiO2,,FTO,elsevier,no_heavy_metal_keyword_detected,10.1016/j.saa.2015.03.107,Stability and efficiency of dye-sensitized solar cells based on papaya-leaf dye
PL dye with pH 4.5,metal_free_candidate_uncertain,3,11.2167,33.3,17.1167,267.8,0.56,,,TiO2,,FTO,elsevier,no_heavy_metal_keyword_detected,10.1016/j.saa.2015.03.107,Stability and efficiency of dye-sensitized solar cells based on papaya-leaf dye
TT1 + DCM,metal_free_candidate_uncertain,2,16.755,29.0,19.305,295.7,0.36,,,,I−/I3−,,rsc,no_heavy_metal_keyword_detected,10.1039/C0EE00536C,Panchromatic engineering for dye -sensitized solar cells 
Change ( % ),metal_free_candidate_uncertain,1,29.0,29.0,30.0,,1.7,,,,I−/I3−,,rsc,no_heavy_metal_keyword_detected,10.1039/C0EE00536C,Panchromatic engineering for dye -sensitized solar cells 
Y1A1,metal_free_candidate_uncertain,3,22.5667,28.9,82.4,0.58,0.7647,,,TiO2,,ITO,elsevier,no_heavy_metal_keyword_detected,10.1016/j.cclet.2019.08.022,Recent progress of thin-film photovoltaics for indoor application
TY6,metal_free_candidate_uncertain,2,24.64,28.56,795.0,0.71,0.787,,,TiO2,,ITO,elsevier,no_heavy_metal_keyword_detected,10.1016/j.cclet.2019.08.022,Recent progress of thin-film photovoltaics for indoor application
PL dye with pH 4.0,metal_free_candidate_uncertain,3,9.2267,27.3,17.8167,272.6333,0.54,,,TiO2,,FTO,elsevier,no_heavy_metal_keyword_detected,10.1016/j.saa.2015.03.107,Stability and efficiency of dye-sensitized solar cells based on papaya-leaf dye
MD7,metal_free_organic_candidate,1,27.17,27.17,913.0,0.676,0.764,,C1CC1C(C(C#N)C(=O)NC2=CC=C(C=C2)C3=CC=CC=C3)O,TiO2,,ITO,elsevier,metal_free_smiles_screen,10.1016/j.cclet.2019.08.022,Recent progress of thin-film photovoltaics for indoor application
TT1 + PTCDI,metal_free_candidate_uncertain,3,10.9033,26.0,15.0333,567.5,0.69,,,,I−/I3−,,rsc,no_heavy_metal_keyword_detected,10.1039/C0EE00536C,Panchromatic engineering for dye -sensitized solar cells 
Mean,metal_free_candidate_uncertain,20,4.3055,24.2,3.2314,0.3161,57.6786,,C(CO)N.[N+](=O)(O)[O-],,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.tet.2018.04.043,"Azulene – Thiophene – Cyanoacrylic acid dyes with donor-π-acceptor structures. Synthesis, characterisation and evaluation in dye-sensitized solar cells"
MD5,metal_free_candidate_uncertain,1,23.17,23.17,762.0,0.651,0.79,,C1=CC(=CC(=C1)[N+](=O)[O-])CSC[C@@H](C(=O)O)NC(=O)C(=O)O,TiO2,,ITO,elsevier,no_heavy_metal_keyword_detected,10.1016/j.cclet.2019.08.022,Recent progress of thin-film photovoltaics for indoor application
[],metal_free_candidate_uncertain,7,13.1657,22.0,33.575,385.3021,63.3333,,,,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.cis.2019.03.001; 10.1016/j.energy.2018.06.021; 10.1016/j.jmat.2018.11.007,A review of solar photovoltaic-thermoelectric hybrid system for electricity generation | Core-shell nanomaterials: Applications in energy storage and conversion | Integration of silicon nanowires in solar cell structure for efficiency enhancement: A review
Equivalent circuit method,metal_free_candidate_uncertain,1,22.0,22.0,,0.64,,,,,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.energy.2018.06.021,A review of solar photovoltaic-thermoelectric hybrid system for electricity generation
24.60 %,metal_free_candidate_uncertain,1,22.0,22.0,,0.64,,,,,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.energy.2018.06.021,A review of solar photovoltaic-thermoelectric hybrid system for electricity generation
1.389 mW,metal_free_candidate_uncertain,1,22.0,22.0,,0.64,,,,,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.energy.2018.06.021,A review of solar photovoltaic-thermoelectric hybrid system for electricity generation
Smaller spacing between thermoelements gives higher output p,metal_free_candidate_uncertain,1,22.0,22.0,,0.64,,,,,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.energy.2018.06.021,A review of solar photovoltaic-thermoelectric hybrid system for electricity generation
1 sun,metal_free_candidate_uncertain,1,22.0,22.0,,0.64,,,,,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.energy.2018.06.021,A review of solar photovoltaic-thermoelectric hybrid system for electricity generation
SJW-E1,metal_free_candidate_uncertain,2,15.31,21.6,21.6,11.13,11.11,,,TiO2,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.rser.2016.06.045; 10.1016/j.solener.2014.08.002,"An overview on the spectrum of sensitizers: The heart of Dye Sensitized Solar Cells | Dye-sensitised solar cells: Development, structure, operation principles, electron kinetics, characterisation, synthesis materials and natural photosensitisers"
1110 mV,metal_free_candidate_uncertain,1,20.41,20.41,,1110.0,,,,,,,rsc,no_heavy_metal_keyword_detected,10.1039/C8RA10014D,Simultaneous electrochemical solar power generation and storage using metanil yellow-formic acid as a new sensitizer-reductant couple in photogalvanic cells  
Y123,metal_free_organic_candidate,711,6.7872,20.25,7.3653,651.5696,16.6314,"3-{6-{4-[bis(2',4'-dihexyloxybiphenyl-4-yl)amino-]phenyl}-4,4-dihexyl-cyclopenta-[2,1-b:3,4-b']dithiphene-2-yl}-2-cyanoacrylic acid",CCCCCCOc1ccc(c(OCCCCCC)c1)c2ccc(cc2)N(c3ccc(cc3)c4sc5c6sc(C=C(C#N)C(O)=O)cc6C(CCCCCC)(CCCCCC)c5c4)c7ccc(cc7)c8ccc(OCCCCCC)cc8OCCCCCC,NiO; TiO2,I3−/I−; I3−/I−1; I−/I3−; triiodide/iodide,FTO; glass,elsevier; rsc,metal_free_smiles_screen; organic_keyword:cyanoacrylic; organic_keyword:cyanoacrylic|thiophene,10.1016/j.apsusc.2019.144690; 10.1016/j.electacta.2016.02.097; 10.1016/j.electacta.2017.08.080; 10.1016/j.electacta.2018.01.142; 10.1016/j.jechem.2017.12.003,A new generation of platinum and iodine free efficient dye-sensitized solar cells   | A platinum-free nanostructured gold counter electrode for DSSCs prepared by pulsed laser ablation | Alternative bases to 4-tert-butylpyridine for dye-sensitized solar cells employing copper redox mediator
CYC-B5,metal_free_candidate_uncertain,1,20.1,20.1,20.1,20.1,20.1,,,TiO2,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.solener.2014.08.002,An overview on the spectrum of sensitizers: The heart of Dye Sensitized Solar Cells
"425 , 525 , 560 , 575",metal_free_candidate_uncertain,1,19.85,19.85,19.85,,,,,TiO2,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.renene.2018.07.101,Improving spectral modification for applications in solar cells: A review
SK7,metal_free_organic_candidate,2,17.55,19.7,676.0,0.593,0.7785,,CC1=C(N(C(=O)NC1=O)C)C=C(CO)CO,TiO2,,ITO,elsevier,metal_free_smiles_screen,10.1016/j.cclet.2019.08.022,Recent progress of thin-film photovoltaics for indoor application
CH3NH3PbI3−xClx,metal_free_candidate_uncertain,1,19.3,19.3,22.75,1.13,75.01,,,,,,rsc,no_heavy_metal_keyword_detected,10.1039/C4CC09888A,"New generation solar cells: concepts, trends and perspectives "
PL dye with pH 3.5,metal_free_candidate_uncertain,3,6.1367,17.9,18.5133,301.4333,0.52,,,TiO2,,FTO,elsevier,no_heavy_metal_keyword_detected,10.1016/j.saa.2015.03.107,Stability and efficiency of dye-sensitized solar cells based on papaya-leaf dye
RK1,metal_free_organic_candidate,144,7.56,17.2,15.6424,20.5412,18.7665,"2-cyano-3-(4-(7-(5-(4- (diphenylamino)phenyl)-4- octylthiophen-2-yl)benzo[c][1,2,5] thiadiazol-4-yl)phenyl) acrylic acid",CCCCCCCCc1cc(sc1c2ccc(cc2)N(c3ccccc3)c4ccccc4)c5ccc(c6ccc(cc6)C=C(C#N)C(O)=O)c7nsnc57,TiO2,I−/I3−; iodide/triiodide; triiodide/iodide,glass,elsevier; rsc,metal_free_smiles_screen,10.1016/j.rser.2018.04.095; 10.1016/j.solener.2019.08.048; 10.1039/C4CC09888A; 10.1039/C5EE00444F; 10.1039/C5RA11762C,Dye Sensitized Solar Cell (DSSC) greenhouse shading: New insights for solar radiation manipulation | Effect of furan π-spacer and triethylene oxide methyl ether substituents on performance of phenothiazine sensitizers in dye-sensitized solar cells   | Metal-free organic sensitizers with narrow absorption in the visible for solar cells exceeding 10% efficiency  
17 days After sealing the cell,metal_free_candidate_uncertain,6,3.93,17.0,5.4217,373.5,61.3333,,,TiO2,I−/I3−,,rsc,no_heavy_metal_keyword_detected,10.1039/C5RA05630F,Dye-sensitized solar cells with hole-stabilizing surfaces: “inorganic” versus “organic” strategies  
CH3NH3PbI3,metal_free_candidate_uncertain,1,16.7,16.7,21.2,1.02,77.6,,,,,,rsc,no_heavy_metal_keyword_detected,10.1039/C4CC09888A,"New generation solar cells: concepts, trends and perspectives "
CH3NH3 Pb(I1−xBrx)3,metal_free_candidate_uncertain,1,16.2,16.2,19.64,1.11,74.2,,,,,,rsc,no_heavy_metal_keyword_detected,10.1039/C4CC09888A,"New generation solar cells: concepts, trends and perspectives "
FAPbI3,metal_free_candidate_uncertain,1,16.0,16.0,20.97,1.03,74.0,,,,,,rsc,no_heavy_metal_keyword_detected,10.1039/C4CC09888A,"New generation solar cells: concepts, trends and perspectives "
GJ-BP,metal_free_candidate_uncertain,2,14.445,15.79,598.5,0.564,0.76,,,TiO2,,ITO,elsevier,no_heavy_metal_keyword_detected,10.1016/j.cclet.2019.08.022,Recent progress of thin-film photovoltaics for indoor application
CYC - B3.,metal_free_candidate_uncertain,1,15.7,15.7,15.7,15.7,15.7,,,TiO2,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.solener.2014.08.002,An overview on the spectrum of sensitizers: The heart of Dye Sensitized Solar Cells
GJ-P,metal_free_candidate_uncertain,2,14.03,15.01,567.0,0.594,0.74,,,TiO2,,ITO,elsevier,no_heavy_metal_keyword_detected,10.1016/j.cclet.2019.08.022,Recent progress of thin-film photovoltaics for indoor application
SGT - 137 / SGT - 021,metal_free_candidate_uncertain,1,14.64,14.64,22.06,878.4,75.55,,,,,,rsc,no_heavy_metal_keyword_detected,10.1039/C6TA09836C,"Significant light absorption enhancement by a single heterocyclic unit change in the π-bridge moiety from thieno[3,2- b ]benzothiophene to thieno[3,2- b ]indole for high performance dye-sensitized and tandem solar cells  "
ZnS,metal_free_candidate_uncertain,2,14.3,14.4,34.55,573.0,72.0,,,ZnO,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.solmat.2004.01.036,Special issue dedicated to Prof. Dr. H. Tributsch on the occasion of his 60th birthday
LEG4 + ADEKA-1,metal_free_candidate_uncertain,2,14.05,14.3,,,0.771,,,,,FTO,rsc,no_heavy_metal_keyword_detected,10.1039/C6CS00752J,Counter electrodes in dye-sensitized solar cells 
TKU-4,metal_free_candidate_uncertain,5,10.972,13.43,25.403,0.602,0.69,,,TiO2,I−/I3−,FTO; ITO,elsevier,no_heavy_metal_keyword_detected,10.1016/j.cclet.2019.08.022; 10.1016/j.orgel.2018.04.048,Rational design of cost-effective dyes for high performance dye-sensitized cells in indoor light environments | Recent progress of thin-film photovoltaics for indoor application
PCP3,metal_free_organic_candidate,1,13.4,13.4,,1431.0,,,,TiO2,,,elsevier,organic_keyword:cyanoacrylic,10.1016/j.molliq.2019.01.078,Application of quantitative prediction to design new organic dyes in dye sensitized solar cells
PCT1,metal_free_organic_candidate,2,10.12,13.24,12.9,915.5,,,,TiO2,,,elsevier,organic_keyword:cyanoacrylic,10.1016/j.molliq.2019.01.078,Application of quantitative prediction to design new organic dyes in dye sensitized solar cells
SM315,metal_free_candidate_uncertain,9,13.0,13.0,18.1,303.94,22.8429,,,SnO2; TiO2,I−/I3−; iodide/triiodide,FTO,elsevier; rsc,no_heavy_metal_keyword_detected,10.1016/j.nanoen.2016.09.001; 10.1016/j.rser.2018.04.095; 10.1039/C4CC09888A; 10.1039/C4DT02756F; 10.1039/C5NR02433A,Counter electrodes in dye-sensitized solar cells  | Dye Sensitized Solar Cell (DSSC) greenhouse shading: New insights for solar radiation manipulation | Metalloid tellurium-doped graphene nanoplatelets as ultimately stable electrocatalysts for cobalt reduction reaction in dye-sensitized solar cells
SM 315,metal_free_candidate_uncertain,2,11.05,13.0,18.3,0.84,0.71,,,TiO2 nanoparticle; Transparent TiO2 nanotube,,FTO,elsevier,no_heavy_metal_keyword_detected,10.1016/j.jpowsour.2016.03.016,A critical review of recent developments in nanomaterials for photoelectrodes in dye sensitized solar cells
C259 + C239,metal_free_candidate_uncertain,4,12.325,12.8,8.475,870.5,0.768,,,,,,rsc,no_heavy_metal_keyword_detected,10.1039/C3EE42331J,Design of high-efficiency organic dyes for titania solar cells based on the chromophoric core of cyclopentadithiophene-benzothiadiazole  
TKU-6,metal_free_candidate_uncertain,5,10.83,12.74,26.9846,0.564,0.684,,,TiO2,I−/I3−,FTO; ITO,elsevier,no_heavy_metal_keyword_detected,10.1016/j.cclet.2019.08.022; 10.1016/j.orgel.2018.04.048,Rational design of cost-effective dyes for high performance dye-sensitized cells in indoor light environments | Recent progress of thin-film photovoltaics for indoor application
TKU-2,metal_free_candidate_uncertain,3,9.3667,12.73,3.672,0.57,0.67,,,,I−/I3−,FTO,elsevier,no_heavy_metal_keyword_detected,10.1016/j.orgel.2018.04.048,Rational design of cost-effective dyes for high performance dye-sensitized cells in indoor light environments
SM - 315 / Co(bpy)32+ / 3+,metal_free_candidate_uncertain,2,12.475,12.72,18.975,882.455,74.495,,,,,FTO,rsc,no_heavy_metal_keyword_detected,10.1039/C7RA06102A,Anchovy-derived nitrogen and sulfur co-doped porous carbon materials for high-performance supercapacitors and dye-sensitized solar cells  
11.9 ± 0.4,metal_free_candidate_uncertain,17,12.7,12.7,77.2471,26.5488,,,,TiO2,,ITO,elsevier,no_heavy_metal_keyword_detected,10.1016/j.rser.2015.09.043,Recent advances in solar photovoltaic systems for emerging trends and advanced applications
[21],metal_free_candidate_uncertain,5,5.14,12.7,10.13,0.8214,0.6,,,,,,elsevier,no_heavy_metal_keyword_detected,10.1016/S1369-7021(02)05532-3,Organic photovoltaic films
38 % at 520 nm,metal_free_candidate_uncertain,2,12.7,12.7,19.4,0.887,,,,,,,elsevier,no_heavy_metal_keyword_detected,10.1016/S1359-0286(02)00006-2; 10.1016/S1369-7021(02)05532-3,Organic photovoltaic films
"GY50 ,",metal_free_candidate_uncertain,1,12.7,12.7,18.53,0.885,0.773,,,SnO2,iodide/triiodide,,rsc,no_heavy_metal_keyword_detected,10.1039/C4DT02756F,Porphyrins as excellent dyes for dye-sensitized solar cells: recent developments and insights 
FF,metal_free_organic_candidate,26,6.5255,12.69,9.948,223.9312,0.7225,,C1=CC=C(C=C1)CC(C(=O)NC(CC2=CC=CC=C2)C(=O)O)N,TiO2,I−/I3−; iodide/triiodide,,elsevier; rsc,metal_free_smiles_screen,10.1016/j.dyepig.2019.108123; 10.1016/j.electacta.2015.04.173; 10.1016/j.jphotochem.2018.04.042; 10.1016/j.orgel.2011.11.020; 10.1016/j.orgel.2016.07.005,"BODIPY-core 1,7-diphenyl-substituted derivatives for photovoltaics and OLED applications | Enhanced performance of dye-sensitized solar cells with novel 2,6-diphenyl-4H-pyranylidene dyes | Improvement of photovoltaic performances by optimizing π-conjugated bridge for the C217-based dyes: A theoretical perspective"
PBT2,metal_free_organic_candidate,1,12.64,12.64,,1357.0,,,CN(C)CC1=NC2=C(C=C1)C(=CC(=C2O)Cl)Cl,TiO2,,,elsevier,metal_free_smiles_screen; organic_keyword:cyanoacrylic,10.1016/j.molliq.2019.01.078,Application of quantitative prediction to design new organic dyes in dye sensitized solar cells
"Cu2ZnSn(S,Se)4",metal_free_candidate_uncertain,1,12.6,12.6,35.2,0.513,69.8,,,,,,elsevier,no_heavy_metal_keyword_detected,10.1016/j.solmat.2018.05.003,"Substitution of Zn in Earth‐Abundant Cu2ZnSn(S,Se)4 based thin film solar cells – A status review"
ADEKA-1,metal_free_candidate_uncertain,5,11.38,12.5,15.6,0.9546,0.765,,CCCCCCC1=C(SC(=C1)C2=C(C=C(S2)C3=C(C=C(S3)C4=C(C=C(S4)C5=CC6=C(C=C5)N(C7=CC=CC=C76)CC)CCCCCC)CCCCCC)CCCCCC)/C=C(\C#N)/C(=O)NC8=CC=C(C=C8)[Si](OC)(OC)OC,,,,rsc,no_heavy_metal_keyword_detected,10.1039/C4CC02192D,An achievement of over 12 percent efficiency in an organic dye-sensitized solar cell  
SGT - 137 / HC-A1,metal_free_candidate_uncertain,1,12.45,12.45,18.37,884.0,76.69,,,,,,rsc,no_heavy_metal_keyword_detected,10.1039/C6TA09836C,"Significant light absorption enhancement by a single heterocyclic unit change in the π-bridge moiety from thieno[3,2- b ]benzothiophene to thieno[3,2- b ]indole for high performance dye-sensitized and tandem solar cells  "
YD-o-C8,metal_free_candidate_uncertain,1,12.3,12.3,17.66,0.935,0.74,,,,,FTO,rsc,no_heavy_metal_keyword_detected,10.1039/C7CS00565B,Multimolecular assemblies on high surface area metal oxides and their role in interfacial energy and electron transfer 
