query,year,title,doi,journal,publisher,first_author,issn,eissn,keywords,fulltext_url,pdf_url,abstract,doaj_id
DSSC bio-based dye,2025,Green synthesis of hematite nano flakes and their application as a counter electrode in dye-sensitized solar cells,10.1038/s41598-025-94974-3,Scientific Reports,Nature Portfolio,Emma Panzi Mukhokosi,,2045-2322,Hematite nano flakes; Green synthesis; Ginger’ natural extract; Photo-conversion; DSSC,https://doi.org/10.1038/s41598-025-94974-3,,"Abstract This study pioneers using hematite nanoflakes as a viable alternative to traditional platinum counter-electrodes in dye-sensitized solar cells (DSSCs), demonstrating its effectiveness for the first time. Besides such a novelty, the used hematite nanoflakes were bio-engineered using ginger extract as an effective chelating reducing agent. From the X-ray diffraction studies, it was observed that the sample annealed at 700 °C formed a highly crystalline α-Fe2O3, with a crystallite nano-scaled size of the order of 46.3 nm. The scanning electron microscopy investigations indicated a preferred layered nanoflakes morphology while the optical properties revealed a direct band gap of 2.30 eV. Using N-719 dye as a sensitizer on TiO2 photoanode and I−/I3 − as electrolyte, the DSSC was fabricated. Such a cell exhibited significant DSSC responses, namely; a short circuit current density (J SC ) of 7.0 mAcm−2, an open circuit voltage (V OC ) of 389 mV, and a fill factor (FF) of 75.3% in addition to an efficiency (η) of 2.05%. Based on such a significant photo-conversion response using bio-engineered active counter electrodes, this study provides a cost-effective approach for synthesizing hematite NFs that have potential applications not only in DSSC but also in sensors, water splitting, and electrochemical devices.",b400b7f3d2054b8ba8b08af8d1476b91
DSSC natural dye,2025,Green synthesis of CuO nanoparticles from Cucurbita maxima leaf extract; a platinum free counter electrode for dye sensitized solar cells,10.46481/jnsps.2025.2309,Journal of Nigerian Society of Physical Sciences,Nigerian Society of Physical Sciences,Emma Panzi  Mukhokosi,2714-2817,2714-4704,Green synthesis; DSSCs; CuO; Cucurbita maxima; Natural dye,https://journal.nsps.org.ng/index.php/jnsps/article/view/2309,,"
Green synthesis of metal oxides has attracted attention as the latest technology in synthesizing metal oxide nanoparticles due to its simplicity, cheapness, non-toxicity and its ability for large scale production. Metal oxides find applications in dye sensitized solar cells (DSSCs) as counter electrodes (CEs) and photo-anodes. However, applications of green synthesized metal oxides as counter electrodes have not been fully explored. In this study, CuO nanoparticles (NPs) were synthesized from Cucurbita maxima leaf extract and applied as a CE in DSSC. Uniformly synthesized CuO NPs were subjected to various characterization tools to obtain the crystal structure, surface morphology, particle size, optical properties, chemical bonds and photovoltaic properties. Using a natural dye from of Cucurbita maxima as a photon absorber, a short circuit current density ( Jsc) of 4.2 µA/cm2, open circuit voltage (Voc) of 0.17 V, a maximum power (Pmax) of 0.18 mW/cm2, and a power conversion efficiency (PCE) of 1.8 × 10?4 % under one-sun illumination were obtained.
",4f759d31ed4c441e8ab2b9f1e9272f5e
green dye sensitized solar cell,2025,Fabrication of titanium dioxide nanoparticle-doped polymer electrolytes for dye-sensitized solar cell modules: self-powered internet of things applications,10.1007/s40243-025-00333-7,Materials for Renewable and Sustainable Energy,SpringerOpen,K. M. Manikandan,2194-1459,2194-1467,DSSC module; Conducting polymer electrolyte; Polypyrrole; Nanomaterials; Charge transfer resistance; IoT sensor,https://doi.org/10.1007/s40243-025-00333-7,,"Abstract This paper explores the integration of Dye-Sensitized Solar Cell modules with Internet of Things applications, emphasizing their potential to provide sustainable, self-powered solutions. This research highlights the potential of nano titanium dioxide infused polymer electrolytes as a promising approach for advancing Dye-Sensitized Solar Cell technology, paving the way for more efficient, durable, and cost-effective solar energy harvesting systems. The prepared electrolytes are systematically investigated for their electrical conductivity, degree of crystallinity, charge transfer resistance, photovoltaic parameters, and surface roughness. The polymer electrolyte with10 wt% nano TiO2 particle shows a maximum electrical conductivity of 0.658 S cm−1 at 313 K. The highest Ea value for the optimised sample (S2) is 0.689 kJ mol−1, indicating enhanced charge carrier transport kinetics. 10 wt % of nano-TiO2 based polymer electrolytes exhibited a smaller Rct1 (3.010 Ω cm2), Rct2 (3.459 Ω cm2) and Rs (4.823 Ω cm2) compared to the other TiO2 doped polymer electrolytes. The Atomic force microscopy analysis revealed that the average roughness value of optimised sample S2 is 22.616 nm. The optimized Dye-Sensitized Solar Cell exhibit an enhanced photo-conversion efficiency of 4.67 ± 0.05% under 100 mW cm−2 illumination, making them suitable for sustainable IoT applications such as autonomous sensors and low-power embedded systems. Additionally, the DSSC module was integrated with an Internet of Things system that measured temperature and moisture. The user received the device’s output through an Android Smartphone App within 0.33 s. This work highlights the potential of nano-engineered polymer electrolytes in advancing DSSC technology for next-generation green energy solutions.",74fd43fcc29f4376911085ebaa7235f8
DSSC metal-free organic dye,2025,Exploring the potential of biphenylamine- and triphenylamine-based sensitizers for enhanced efficiency of more than 8% in dye-sensitized solar cells,10.1098/rsos.240133,Royal Society Open Science,The Royal Society,Faoz H. Al-Atawi,,2054-5703,dye-sensitized solar cells; triphenylamine; light-harvesting efficiency; adsorption behaviour; absorption spectra; power conversion efficiency,https://royalsocietypublishing.org/doi/10.1098/rsos.240133,,"As the world’s population and industrial sector rapidly expand, the demand for energy is rising. Solar cells can address both global energy and environmental needs. With the aim to enhance dye-sensitized solar cell (DSSC) efficiency, we designed four metal-free biphenylamine- and triphenylamine-based dyes (RK2–RK5) based on the reference dye RK1, increasing the donor strength (substituting different groups such as biphenylamine and triphenylamine into the donor side of the dye) as such dyes improved DSSC power conversion efficiency. Density functional theory (DFT) was applied at the B3LYP/6–31G** level to calculate the ground-state (S0) optimized geometries of RK1-RK5. Time-dependent DFT was used to compute the absorption spectra, utilizing four functionals (B3LYP, CAM-B3LYP, PBE1PBE and BHandHLYP), in the gas phase and in solvents such as dichloromethane and ethanol. Comprehensive analysis of RK1-RK5 as well as dyes@TiO2 was performed, and light was shed on the optoelectronic properties. Frontier molecular orbitals' charge density distribution revealed the sensitizers' intramolecular charge transfer from the donor to the acceptor unit. After adsorption of the dyes on TiO2, charge transfer was seen from sensitizer to the TiO2 semiconductor’s surface in dyes@TiO2. Adsorption of the dyes on the TiO2 cluster would be stable, as revealed by the dyes@TiO2 cluster’s negative binding energy. Additionally, it was found that the presence of two donor groups raises the electronic coupling and electron injection constants in RK4 and RK5, indicating that the charge injection in these newly designed dyes would be superior. As a result, the DSSC efficiency in the newly designed derivatives has been improved to 8.05% for RK5 by substituting the triphenylamine unit at the R1 and R2 positions in the parent compound. These well established correlations between structure–property relationships and performance provide profound insight into how improving the donor moiety strength in organic sensitizers affects device performance. It boosted photovoltaic performance through enhanced short-circuit current density and light-harvesting efficiency. For high efficiency in DSSCs, this can provide a useful rational molecular design strategy for D–π–A organic sensitizers.",79bac0a571424bd88efae71779ca0784
dye sensitized solar cell,2025,Experimental and Theoretical Studies of New Materials based on Hydrazine for Solar Cell Application,10.22036/ncr.2025.01.005,Nanochemistry Research,Iranian Chemical Society,Issam Rafiq,2538-4279,2423-818X,hydrazine derivatives; material synthesis; td-dft; dssc; electronic,,http://www.nanochemres.org/article_210555_88e0d9d3a82ffcd9c52efa49dc5e5561.pdf,"This study investigates the geometric and electronic properties of novel conjugated compounds derived from hydrazine using computational and experimental methods for potential application in solar cells. Density Functional Theory (DFT) at the B3LYP level with a 6-311G (dp) basis set was utilized to explore the theoretical ground state geometry and electronic structure of these materials. We examined the influence of ring structures and substituents to better understand the relationship between molecular structure and optoelectronic characteristics, with a focus on the energy levels of the Highest Occupied Molecular Orbital (HOMO) and Lowest Unoccupied Molecular Orbital (LUMO). The HOMO-LUMO energy gap (ΔG) and open circuit voltage (Voc) analyses confirm the potential of these materials as organic dye solar cell candidates. Experimentally, the synthesis of compounds D1, D2, D3, and D4 was achieved using standard organic synthesis techniques. Intermediate compounds were synthesized via condensation reactions and further reacted to form the final hydrazone products. These compounds were purified using thin-layer chromatography and their structures were confirmed by spectroscopic techniques including NMR, IR, and MS. Comprehensive validation ensured the accuracy and reproducibility of the synthesized compounds, proving their efficacy as materials for dye-sensitized solar cells. The combined theoretical and experimental results provide a solid foundation for optimizing these dyes to enhance solar cell performance.",0a3a261c924c43d38935d83588297946
dye sensitized solar cell,2025,Electrochemical Synthesis of Polyaniline and Sheet-like Structure of Molybdenum Selenide (PANI@2D-MoSe<sub>2</sub>) Binary Composite for Solar Cell Applications,10.3390/nano15050384,Nanomaterials,MDPI AG,Alagumalai Manimekalai,,2079-4991,electropolymerization; polyaniline; molybdenum disulfide; PANI@2D-MoSe<sub>2</sub>; counter electrode; dye-sensitized solar cell,https://www.mdpi.com/2079-4991/15/5/384,,"In this work, a promising material of polyaniline (PANI) and two-dimensional molybdenum diselenides consisting of a PANI@2D-MoSe<sub>2</sub> binary composite was prepared by an electrochemical polymerization ethod. The as-prepared PANI@2D-MoSe<sub>2</sub>, the polymer covered in the sheet-like structure of 2D-MoSe<sub>2</sub> surface morphologies, was observed through FE-SEM and HR-TEM studies. The SAED pattern of PANI@2D-MoSe<sub>2</sub> was observed to be in an octahedral phase. The octahedral crystalline phase was also confirmed based on the XRD pattern. In addition, EIS studies of the PANI@2D-MoSe<sub>2</sub> binary composite counter electrode (CE) revealed the highest electrical conductivity of 3.47 × 10<sup>−4</sup> S/cm at room temperature. The DSSCs assembled the PANI@2D-MoSe<sub>2</sub> CE, which amounted to a 7.38% efficiency. Pristine PANI, 2D-MoSe<sub>2</sub>, and Pt CEs exhibited efficiencies of 5.07%, 5.82%, and 6.61%. The PANI integrated with 2D (MoSe) combines influences of conductivity and stability for future energy conversion technologies.",1ef5078370024e1291e9d09b7444197e
DSSC natural dye,2025,Efficiency enhancement of DSSCs based on sol-gel prepared ZnO nanoparticles through cosensitization with natural and synthetic pigments,10.1016/j.chphi.2025.100868,Chemical Physics Impact,Elsevier,Vahdat Rafee,,2667-0224,DSSC; Photovoltaic; Synthetic Pigment N719; ZnO; FTO; Nerium,http://www.sciencedirect.com/science/article/pii/S2667022425000568,,"This study explores the effect of co-sensitizing dye-sensitized solar cells (DSSCs) based on ZnO nanoparticles with natural pigments from Nerium (oleander) and Ziziphus jujuba (jujube) fruit peel, alongside the synthetic pigment N719, to enhance efficiency. ZnO nanoparticles were synthesized via the sol-gel method, and five DSSC samples (DS1-DS5) were fabricated using the Doctor Blade technique. These were sensitized with: (1) jujube extract (D1), (2) Nerium extract (D2), (3) N719 (D3), (4) a blend of D1 and D2 (D4), and (5) a co-sensitized mix of D1, D2, and N719 (D5) in a 1:1:2 ratio. Structural and optical properties were characterized using FE-SEM, XRD, and UV–Vis spectroscopy, while photovoltaic performance was evaluated with a solar simulator. Results revealed that DS5, co-sensitized with all three pigments, exhibited the broadest absorption spectrum (200–600 nm) and the highest efficiency (3.28 %), attributed to enhanced light harvesting and electron transfer. The ZnO films showed a uniform, porous structure with an average nanoparticle size of 42.16 nm. This co-sensitization approach, combining low-cost natural dyes with N719, offers an eco-friendly and efficient strategy for improving DSSC performance.",6aad2ae2f3c348b8b1626d810196f853
DSSC natural dye,2025,Dye-Sensitized Solar Cells Application of TiO<sub>2</sub> Using <i>Spirulina</i> and <i>Chlorella</i> Algae Extract,10.3390/colorants4030025,Colorants,MDPI AG,Maria Vitória França Corrêa,,2079-6447,chlorophyll; dyes; solar cells,https://www.mdpi.com/2079-6447/4/3/25,,"The present study investigates dye-sensitized solar cells (DSSCs) incorporating natural extracts from the microalgae <i>Spirulina</i> and <i>Chlorella</i> as photosensitizers. TiO<sub>2</sub>-based electrodes were prepared and immersed in methanolic algae extracts for 24 and 48 h. UV–Vis spectroscopy revealed absorption peaks near 400 nm and 650 nm, characteristic of chlorophyll. Electrochemical analyses, including photochronoamperometry and open-circuit potential, confirmed the photosensitivity and charge transfer capabilities of all systems. The cell sensitized with <i>Chlorella</i> after 48 h of immersion exhibited the highest energy conversion efficiency (0.0184% ± 0.0015), while <i>Spirulina</i> achieved 0.0105% ± 0.0349 after 24 h. <i>Chlorella</i>’s superior performance is attributed to its higher chlorophyll content and enhanced light absorption, facilitating more efficient electron injection and interaction with the TiO<sub>2</sub> surface. Although the efficiency remains lower than that of conventional silicon-based solar cells, the results highlight the potential of natural colorants as sustainable and low-cost alternatives for photovoltaic applications. Nonetheless, further, improvements are required, particularly in dye stability and anchorage, to improve device performance. This research reinforces the viability of natural photosensitizers in DSSC technology and supports continued efforts to optimize their application.",3da04c12e367464386b076a6be229383
DSSC natural dye,2025,Comparison Study of Natural Dye Sensitisers in Dye-Sensitised Solar Cells,10.33093/jetap.2025.7.2.3,Journal of Engineering Technology and Applied Physics,MMU Press,Cheikh Zakaria Eldjilali,,2682-8383,solar cells; photovoltaics; tio2; dssc; anthocyanin; chrolophyll; natural dye,https://journals.mmupress.com/index.php/jetap/article/view/1793/1085,,"This work explored the performance and characterisation of dye-sensitised solar cells (DSSCs) based on sustainable dyes, as compared to traditionally applied dyes consisting of metal compounds. Several natural sources were used to extract the dye, including mangosteen, thyme, coriander, spearmint, ginger, and papaya. The samples were investigated, and a comparison was made between the performance of each dye. The ruthenium sensitised control sample yielded a Power Conversion Efficiency (PCE) of 3.9642% with a Fill Factor (FF) of 69.434%. Among natural dye sensitisers anthocyanin pigment-rich dye from mangosteen performed the best with PCE and FF of 0.7677% and 68.55%, respectively. Other natural dye-sensitised samples all depicted PCE < 0.3% but relatively close FF, ranging from 50% to around 70%.",be7f990271d849028aed49dc50e278ca
DSSC bio-based dye,2025,Colletotrichum gloeosporioides (endophytic fungi) mediated biosynthesis of TiO2 nanoparticles for high-performance dye-sensitized solar cell,10.1016/j.nxnano.2024.100122,Next Nanotechnology,Elsevier,Sakshi Singh,,2949-8295,Biosynthesis; Colletotrichum gloeosporioides; DSSC; Endophytic fungi; TiO2,http://www.sciencedirect.com/science/article/pii/S2949829524000834,,"This work reports an environmentally friendly protocol for synthesizing TiO2 nanoparticles (NPs) by utilizing endophytic fungi, Colletotrichum gloeosporioides (C. gloeosporioides). The fungi isolated from Thevetia peruviana, worked as a bio-capping agent to regulate the growing TiO2 NPs morphology and agglomeration behavior. The formation of TiO2 NPs was validated by surface plasmon resonance, observed using UV–vis spectroscopy. Using XRD and HRTEM, the structure, size, and shape of the as-synthesized anatase TiO2 NPs were characterized. BET analysis was used to examine the surface area and porosity. EIS revealed the greater charge collection efficiency and enhanced electron lifetime for the TiO2 obtained with N-3 (endophytic fungal extract). The dye-sensitized solar cell (DSSC) fabricated with bio-capped TiO2 (N-3) photoanode exhibited greater light-to-current conversion efficiency, 3.50 %; much enhanced compared to 0.98 % obtained with un-capped TiO2 NPs (N-1) based cell. The study demonstrated that the endophytic fungus C.gloeosporioides played a vital role in enhancing the cell performance.",ea27de229c8246c68e6750569d42d498
dye sensitized solar cell,2025,Bio-capped synthesis of TiO2 nanoparticle using Murraya koenigii leaf extract via ultrasonication assisted sol-gel method and its advanced DSSC performance,10.1016/j.nxmate.2025.100680,Next Materials,Elsevier,Yoganand Singh,,2949-8228,DSSC; TiO2; Murraya koenigii; Bio-capped; Sol-gel,http://www.sciencedirect.com/science/article/pii/S2949822825001984,,"In the present study, the synthesis of titanium dioxide (TiO2) nanoparticles (NPs) was investigated and optimized by ultrasonication-assisted sol-gel method using Murraya koenigii (MK) ethanolic extract as a capping agent. In this eco-friendly approach, the MK extract that contained diverse phytochemicals such as flavonoids, carbohydrates, quinones, and alkaloids was utilized as both a reducing and stabilizing agent during nanoparticle formation. The presence of these phytochemicals in MK extract was confirmed using qualitative phytochemical analysis, UV–visible, FTIR spectroscopy and HRMS. Different characterization techniques, including UV–visible measurements, FTIR, XRD, HRTEM and XPS analysis, were employed to analyze the optical properties, crystalline nature, morphology, purity, and size of the synthesized TiO2 nanoparticles. An increased optical band-gap (2.85–3.02 eV) was observed for MK-capped TiO2 compared to bare TiO2 (2.73 eV). The crystallite size and particle size of capped TiO2 nanoparticles were found to be 8.74 nm and 9.2 nm, respectively, which were smaller than the un-capped TiO2. Additionally, specific surface areas and porosity of these nanoparticles were investigated through BET analysis. The results revealed that the capped TiO2 exhibited a higher specific surface area (95.394 m²g⁻¹) compared to the un-capped TiO2 (90.601 m2g−1). Electrochemical impedance spectroscopy (EIS) studies revealed reduced total internal charge transfer resistance in the case of MK-capped TiO2. Notably, the dye-sensitized solar cell (DSSC) fabricated with MK-capped TiO2 exhibited a significantly improved light-to-current conversion efficiency of 3.02 % (Jsc = 10.26 mA/cm2 and Voc = 0.48 V) compared to un-capped TiO2 nanoparticles at 1.76 % (Jsc = 5.92 mA/cm2 and Voc = 0.45 V). The use of MK extract as natural capping agent thus demonstrated its potential to enhance DSSCs output without adverse environmental effects.",054ddeefe873428cbfb8a7419e3402b5
green dye sensitized solar cell,2025,A review on green synthesis of TiO2 nanoparticles: enhancing DSSC performance and exploring future opportunities,10.1016/j.mset.2025.07.001,Materials Science for Energy Technologies,"KeAi Communications Co., Ltd.", Muhammad,,2589-2991,Dye-sensitized solar cell; Green synthesis; Sustainability; Titanium dioxide nanoparticles,http://www.sciencedirect.com/science/article/pii/S2589299125000084,,"Global energy security has been destabilized by post-pandemic disruptions, geopolitical instability, and climate-related events, accelerating the need for sustainable alternatives such as solar technologies. Dye-sensitized solar cells (DSSCs), a cost-effective and environmentally friendly third-generation photovoltaic technology, have attracted significant research interest in recent decades, particularly in enhancing the properties of the photoanode material. This review emphasizes the role of green synthesis approaches as promising alternatives to conventional chemical methods. These eco-friendly strategies utilize biological compounds as reducing and capping agents, enabling better control over particle size and morphology, improving DSSC performance by enhancing electron transport properties and dye-loading capacity. However, product consistency and reproducibility issues remain significant challenges, particularly for scaling up and commercialization. This paper also outlines future directions, including extract fingerprinting, hybrid nanostructure development, and integrating artificial intelligence and machine learning for synthesis optimization. The green synthesis of TiO2 nanoparticles holds strong potential for advancing DSSC performance while supporting the transition toward sustainable energy technologies.",4c2a942936d34bdeadb9f220e60910e2
dye sensitized solar cell,2024,p-Type DSSCs by sensitizing a benzofuran[b]-fused BODIPY with cyanoacrylic acid,10.1016/j.nxmate.2024.100177,Next Materials,Elsevier,Sule Erten-Ela,,2949-8228,p-Type Dye-sensitized solar cell; BODIPY; Local excitation transition; NiO,http://www.sciencedirect.com/science/article/pii/S2949822824000741,,"We found that a benzofuran[b]-fused 4,4-difluoro-4-bora-3a,4a-diaza-s-indacene (BODIPY) with cyanoacrylic acid (1) served as a photosensitizer for p-type dye-sensitized solar cells (DSSCs). The photovoltaic parameters (short circuit current density = 3.57 mA cm2, open circuit voltage = 0.12 V, fill factor = 0.33, and power conversion efficiency = 0.14%) were obtained with a 1-loaded NiO photocathode under AM 1.5 conditions. The incident photon-to-current efficiency spectrum showed excellent photo-harvesting capability, with a significant band at approximately 600 nm. Time-dependent density functional theory (TD-DFT)/DFT calculations indicated that electron distributions of both the HOMO and LUMO levels spread over the benzofuran-fused BODIPY core, mainly owing to π-π* transition. It is noteworthy that 1 served as a photosensitizer for p-type DSSC, despite almost no push-pull sensitizers. The hole transport and recombination processes were investigated by using intensity-modulated photocurrent spectroscopy and intensity-modulated photovoltage spectroscopy. This study demonstrates that the local excitation (LE) character of dye is significantly workable for p-type sensitization, which may contribute to surpass recombination.",10f2bb91a4584cc890f4b08ad4068c95
DSSC natural dye,2024,"Utilization of natural dyes extracted from mustard flower (Genus: Brassica, Species: Napus) as photosensitizer for DSSC: Experimental and computational studies",10.1016/j.rio.2024.100631,Results in Optics,Elsevier,Abhilasha Tiwari,,2666-9501,DSSC; TiO2; Semiconductor; Thin film; Natural dye; Brassica Napus,http://www.sciencedirect.com/science/article/pii/S2666950124000282,,"Dye-sensitized solar cells (DSSC) are considered as one of the most promising photovoltaic technologies, while exploring alternatives to traditional silicon-based solar cells. Dye sensitizer is a very important component of DSSC and the use of natural dyes in these cells is a promising development for this technology, as it has non-hazardous impact on the environment. This work reports the new natural dye extracted from Brassica Napus flower petals and used as sensitizer in TiO2 based DSSC. UV–Vis spectra showed the presence of carotenoid and flavonoid pigments along with broad absorption in dye loaded TiO2. FITR revealed functional groups in the Brassica Napus dye extract. Mass spectroscopy was used to find major constituents present in extract. With the natural Brassica Napus sensitizer and TiO2, photovoltaic performance results viz. conversion efficiency (ɳ%) 0.062, short circuit current density (Jsc) 0.45 mA/cm2, open circuit voltage (Voc) 0.260 V and fill factor (FF) 0.52 were observed. Further, HOMO-LUMO levels of constituents present in Brassica Napus have been measured via CV measurements and compared with relative energetic obtained by computational studies. The transport characteristics revealed from EIS studies were used to rationalize the observed photo-voltaic performance of the DSSC.",76aaeb8bd7f64b7e9ba11fb9151fb0a6
DSSC metal-free organic dye,2024,"Theoretical study on the efficiency of new organic dyes based on (E)-2-(2-(thiophen-3-yl)vinyl)-1,1′-bipyrrole as dye-sensitized solar cell sensitizers",10.1016/j.chphma.2024.06.008,ChemPhysMater,"KeAi Communications Co., Ltd.",Mohammed Ouachekradi,,2772-5715,Bipyrrole; DFT/TD-DFT; DSSC; Theoretical study; Quantum modelling; π-bridge,http://www.sciencedirect.com/science/article/pii/S2772571524000391,,"Dye-sensitized solar cells (DSSCs) have gained critical importance as a leading emerging photovoltaic technology for low-cost power generation due to their simple production, light weight, applicability to the development of flexible photovoltaic devices, and use of abundant and inexpensive materials, including advantageous metal-free organic dyes. In this context, as a continuation of our work on DSSCs, a theoretical examination using density functional theory (DFT) and time-dependent density functional theory (TD-DFT) was conducted to evaluate the photovoltaic performance of eight new organic dyes. Each dye contains an electron donor group ((E)-2-(2-(thiophen-3-yl)vinyl)-1,1′-bipyrrole), an electron acceptor group (cyanoacrylic acid (CCA)), and four auxiliary donor/acceptor groups, i.e., 3,4-ethylenedioxythiophene (EDOT), furan/benzothiadiazole (BTZ), diketopyrrolopyrrole (DPP) linked to π-conjugated bridges such as styrene or thiophene. We calculated several parameters for each dye, including EHOMO, ELUMO, Egap, λmax, Eex, pen-circuit photovoltage (VOC), light harvesting efficiency (LHE), regeneration driving force (ΔGreg), electron injection driving force (ΔGinject), and excitation lifetime (τ) to determine the photovoltaic efficiency of each dye. The results showed that the new dyes exhibited good performance and remarkable energy-conversion efficiencies. Additionally, all investigated dyes posed as promising candidates for the generation of effective DSSC sensitizers, particularly M6, which contained a styrene-linked EDOT auxiliary donor group.",7196e2d633ba4565aae1fcf372f78107
dye sensitized solar cell,2024,The Effect of Mixed Dye Composition of Anthocyanin-Chlorophyll on DSSC Efficiency on TiO2/ZnO Semiconductors,10.29303/jpft.v10i`1.6192,JPFT (Jurnal Pendidikan Fisika dan Teknologi),Program Studi Pendidikan Fisika FKIP Universitas Mataram,Renta Wendi Manurung,2614-5618,2407-6902,Efficiency; DSSC; TiO2/ZnO,https://www.jurnalfkip.unram.ac.id/index.php/JPFT/article/view/6192,,"
The effect of mixed dye composition of anthocyanin-chlorophyll on DSSC efficiency on TiO2/ZnO semiconductors aims to determine the effect of using dye containing anthocyanin-chlorophyll on the absorbance value and work efficiency value of Dye Sensitized Solar Cell (DSSC). The TiO2/ZnO was deposited using the doctor blade method and the dye was made using the maceration method. The counter electrode was made on FTO glass coated by calcined battery carbon with temperature in 450°C. The DSSC assembly was arranged in a sandwich shape. Then electrolyte is dripped in the middle of the DSSC layer. Characterization tests were carried out to determine the dye absorbance value and gap energy value using a UV-Vis spectrophotometer. DSSC efficiency testing uses current and voltage (I-V) characterization. DSSC testing was carried out using a multimeter with a light source from sunlight. The results of UV-Vis characterization showed that the highest absorbance value was obtained for the kale-mangosteen peel dye at a wavelength of 530 nm with an absorbance of 5.234%. The TiO2/ZnO gap energy obtained using the touch plot method is 2.42 eV. The highest efficiency value was obtained from the kale-mangosteen peel dye mixture of 0.0286%. There was an increase in the DSSC efficiency value when the dyes were combined.
",20bbbf4bbada4c4d80ad0023cb147801
DSSC metal-free organic dye,2024,Tandem dye-sensitized solar cells achieve 12.89% efficiency using novel organic sensitizers,10.1038/s41598-024-75959-0,Scientific Reports,Nature Portfolio,Safa A. Badawy,,2045-2322,Tandem dye-sensitized solar cells (T-DSSCs); Triazatruxene (TAT); N719; Power conversion efficiency (PCE),https://doi.org/10.1038/s41598-024-75959-0,,"Abstract This study presents a significant advancement in tandem dye-sensitized solar cells (T-DSSCs) through the strategic synthesis of novel triazatruxene (TAT) sensitizers MS-1 and MS-2. These organic sensitizers demonstrate exceptional light-harvesting capacity and overall performance, pushing the boundaries of power conversion efficiency (PCE) in DSSCs. The MS-1-based DSSCs achieved an impressive PCE of 12.81%, while MS-2 sensitizers reached a notable 10.92%. These efficiencies represent significant improvements over the conventional N719 dye (7.60%), demonstrating the potential of metal-free organic sensitizers in DSSC technology. The key to these noteworthy results lies in the molecular design of the organic sensitizers. The triazatruxene donor segment in the MS-1 and MS-2 dyes, featuring a rigid structure and efficient intramolecular charge transfer (ICT), proved to be a game-changer for photovoltaic properties. Building on these results, we explored an innovative parallel tandem cell (PT-DSSC) configuration. By connecting separate cells containing N719 and MS-1 sensitizers, we achieved a record efficiency of 12.89% with enhanced short-circuit current density (J SC ) and open-circuit voltage (V OC )compared to single-dye cells. This study highlights the potential of molecular engineering in organic sensitizers and device optimization to enhance DSSC performance, paving the way for further advancements in solar cell technology.",c78f005bf3054e1ea90b627ad4f3d6eb
DSSC natural dye,2024,Study of photosensitizer dyes for high-performance dye-sensitized solar cells application: A computational investigation,10.1016/j.chphi.2024.100719,Chemical Physics Impact,Elsevier,M. Ashraful Hasan,,2667-0224,Dye-sensitized solar cells; Photovoltaic systems; Density functional theory (DFT); Time-dependent DFT (TD-DFT),http://www.sciencedirect.com/science/article/pii/S2667022424002639,,"Dye-sensitized solar cells (DSSCs) offer a promising, cost-effective alternative to conventional photovoltaic systems. Organic sensitizers, capable of capturing a broad spectrum of sunlight, are key components in DSSCs, but their development and testing are often time-consuming and expensive. Quantum chemical calculations, specifically Density Functional Theory (DFT), have emerged as valuable tools to evaluate potential dye candidates, streamlining the design process and reducing costs. This study investigated the molecular structures and photophysical properties of three common dye classes used in high-performance DSSCs: natural pigments, anthocyanidin pigments, and squaraine dyes. Employing DFT and time-dependent DFT (TD-DFT) at the B3LYP/6–31G level, key parameters such as the HOMO-LUMO energy gap, free energy differences for electron injection and dye regeneration, short-circuit current density, total reorganization energy, and open-circuit voltage were analyzed. Additionally, maximum absorption wavelengths and oscillator strength values were calculated. Our findings provide valuable insights into the optical and electrical properties of these natural dyes, aiding DSSC manufacturers in selecting optimal sensitizers. This research highlights the potential of computational methods in accelerating dye development and improving the overall efficiency of DSSC technology.",7b880ee2fbad48b38dd66ceaef15522e
