combination_status,dye,semiconductor,electrolyte,substrate,rationale,source_dois,needs_next_step
virtual_candidate_not_experimental,MS-2,TiO2 nanoparticle + Ag 0.50%,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1038/s41598-024-75959-0; 10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,MS-2,TiO2 nanoparticle + Ag 0.50%,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1038/s41598-024-75959-0; 10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,MS-2,TiO2 nanoparticle + Ag 0.75%,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1038/s41598-024-75959-0; 10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,MS-2,TiO2 nanoparticle + Ag 0.75%,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1038/s41598-024-75959-0; 10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,MS-2,TiO2 nanoparticle + Ag 1%,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1038/s41598-024-75959-0; 10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,MS-2,TiO2 nanoparticle + Ag 1%,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1038/s41598-024-75959-0; 10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,MS-2,TiO2 nanoparticle + Ag 2%,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1038/s41598-024-75959-0; 10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,MS-2,TiO2 nanoparticle + Ag 2%,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1038/s41598-024-75959-0; 10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,MS-2,TiO2 nanoparticle + Ag 3%,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1038/s41598-024-75959-0; 10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,MS-2,TiO2 nanoparticle + Ag 3%,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1038/s41598-024-75959-0; 10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,MS-2,TiO2 nanoparticle,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1038/s41598-024-75959-0; 10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,MS-2,TiO2 nanoparticle,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1038/s41598-024-75959-0; 10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,MS-2,TiO2 nanorod treated + Ag 1%,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1038/s41598-024-75959-0; 10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,MS-2,TiO2 nanorod treated + Ag 1%,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1038/s41598-024-75959-0; 10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Pandan leaf; anthocyanin; chlorophyll; curcumin,TiO2 nanoparticle + Ag 0.25%,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Pandan leaf; anthocyanin; chlorophyll; curcumin,TiO2 nanoparticle + Ag 0.25%,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Pandan leaf; anthocyanin; chlorophyll; curcumin,TiO2 nanoparticle + Ag 0.50%,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Pandan leaf; anthocyanin; chlorophyll; curcumin,TiO2 nanoparticle + Ag 0.50%,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Pandan leaf; anthocyanin; chlorophyll; curcumin,TiO2 nanoparticle + Ag 0.75%,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Pandan leaf; anthocyanin; chlorophyll; curcumin,TiO2 nanoparticle + Ag 0.75%,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Pandan leaf; anthocyanin; chlorophyll; curcumin,TiO2 nanoparticle + Ag 1%,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Pandan leaf; anthocyanin; chlorophyll; curcumin,TiO2 nanoparticle + Ag 1%,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Pandan leaf; anthocyanin; chlorophyll; curcumin,TiO2 nanoparticle + Ag 2%,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Pandan leaf; anthocyanin; chlorophyll; curcumin,TiO2 nanoparticle + Ag 2%,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Pandan leaf; anthocyanin; chlorophyll; curcumin,TiO2 nanoparticle + Ag 3%,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Pandan leaf; anthocyanin; chlorophyll; curcumin,TiO2 nanoparticle + Ag 3%,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Pandan leaf; anthocyanin; chlorophyll; curcumin,TiO2 nanoparticle,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Pandan leaf; anthocyanin; chlorophyll; curcumin,TiO2 nanoparticle,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Pandan leaf; anthocyanin; chlorophyll; curcumin,TiO2 nanorod treated + Ag 1%,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Pandan leaf; anthocyanin; chlorophyll; curcumin,TiO2 nanorod treated + Ag 1%,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Caulerpa racemosa,TiO2 nanoparticle + Ag 0.25%,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Caulerpa racemosa,TiO2 nanoparticle + Ag 0.25%,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Caulerpa racemosa,TiO2 nanoparticle + Ag 0.50%,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Caulerpa racemosa,TiO2 nanoparticle + Ag 0.50%,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Caulerpa racemosa,TiO2 nanoparticle + Ag 0.75%,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Caulerpa racemosa,TiO2 nanoparticle + Ag 0.75%,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Caulerpa racemosa,TiO2 nanoparticle + Ag 1%,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Caulerpa racemosa,TiO2 nanoparticle + Ag 1%,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Caulerpa racemosa,TiO2 nanoparticle + Ag 2%,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Caulerpa racemosa,TiO2 nanoparticle + Ag 2%,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Caulerpa racemosa,TiO2 nanoparticle + Ag 3%,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Caulerpa racemosa,TiO2 nanoparticle + Ag 3%,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Caulerpa racemosa,TiO2 nanoparticle,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Caulerpa racemosa,TiO2 nanoparticle,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Caulerpa racemosa,TiO2 nanorod treated + Ag 1%,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Caulerpa racemosa,TiO2 nanorod treated + Ag 1%,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Gymnogongrus flabelliformis,TiO2 nanoparticle + Ag 0.25%,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Gymnogongrus flabelliformis,TiO2 nanoparticle + Ag 0.25%,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Gymnogongrus flabelliformis,TiO2 nanoparticle + Ag 0.50%,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Gymnogongrus flabelliformis,TiO2 nanoparticle + Ag 0.50%,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Gymnogongrus flabelliformis,TiO2 nanoparticle + Ag 0.75%,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Gymnogongrus flabelliformis,TiO2 nanoparticle + Ag 0.75%,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Gymnogongrus flabelliformis,TiO2 nanoparticle + Ag 1%,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Gymnogongrus flabelliformis,TiO2 nanoparticle + Ag 1%,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Gymnogongrus flabelliformis,TiO2 nanoparticle + Ag 2%,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Gymnogongrus flabelliformis,TiO2 nanoparticle + Ag 2%,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Gymnogongrus flabelliformis,TiO2 nanoparticle + Ag 3%,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Gymnogongrus flabelliformis,TiO2 nanoparticle + Ag 3%,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Gymnogongrus flabelliformis,TiO2 nanoparticle,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Gymnogongrus flabelliformis,TiO2 nanoparticle,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Gymnogongrus flabelliformis,TiO2 nanorod treated + Ag 1%,iodide/triiodide (LiI/I2),FTO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
virtual_candidate_not_experimental,Gymnogongrus flabelliformis,TiO2 nanorod treated + Ag 1%,iodide/triiodide (LiI/I2),ITO glass,green dye/material combined with high-confidence DSSC component pool,10.1051/e3sconf/202448101005; 10.13044/j.sdewes.d12.0491; 10.61435/ijred.2025.61083,manual_feasibility_check_then_descriptor_or_dft_generation
