local_file,doi,title,tables,pv_tables,records,status
database_2018_13516220/doaj_2020_2026/scraped/raw/10.17807_orbital.v15i2.17854.pdf,10.17807/orbital.v15i2.17854,Studies on the Optical and Photoelectric Properties of Anthocyanin and Chlorophyll as Dihybrid Sensitizer in Dye Sensitized Solar Cell (DSSC) ,1,0,0,ok
database_2018_13516220/doaj_2020_2026/scraped/raw/10.17977_um016v8i12024p138.pdf,10.17977/um016v8i12024p138,Performance Enhancement of Dye Sensitized Solar Cell (DSSC) through TiO2/rGO Hybrid: Comprehensive Study on Synthesis and Characterization,1,0,0,ok
database_2018_13516220/doaj_2020_2026/scraped/raw/10.21577_0100-4042.20230133.pdf,10.21577/0100-4042.20230133,DYE-SENSITIZED SOLAR CELLS (DSSC): AN APPROACH TO PRACTICE IN UNDERGRADUATE TEACHING,0,0,0,ok
database_2018_13516220/doaj_2020_2026/scraped/raw/10.22146_ijc.84037.pdf,10.22146/ijc.84037,Preparation and Performance of ZnO and ZnO/MnO<sub>2</sub> Nanostructures as Anode Electrodes in DSSCs,1,0,0,ok
database_2018_13516220/doaj_2020_2026/scraped/raw/10.22146_ijc.86386.pdf,10.22146/ijc.86386,Characterization and Application of Natural Photosensitizer and Poly(vinylidene Fluoride) Nanofiber Membranes-Based Electrolytes in DSSC,1,0,0,ok
database_2018_13516220/doaj_2020_2026/scraped/raw/10.22146_ijc.93830.pdf,10.22146/ijc.93830,"Optimizing Dye-Sensitized Solar Cell (DSSC) Performance through Synergistic Natural Dye Combinations from Beta vulgaris L., Curcuma longa L., and Pandanus amaryllifolius",0,0,0,ok
database_2018_13516220/doaj_2020_2026/scraped/raw/10.22441_sinergi.2025.1.020.pdf,10.22441/sinergi.2025.1.020,Innovative bio-inspired solar cells using fly ash-based dye-sensitized cells with fruit extract enhancements and Averrhoa bilimbi electrolyte,10,0,0,ok
database_2018_13516220/doaj_2020_2026/scraped/raw/10.2298_HEMIND250218007L.pdf,10.2298/HEMIND250218007L,Harnessing the potential of selected plant pigments in dye-sensitized solar cells: The current status,1,0,0,ok
database_2018_13516220/doaj_2020_2026/scraped/raw/10.46481_jnsps.2025.2309.pdf,10.46481/jnsps.2025.2309,Green synthesis of CuO nanoparticles from Cucurbita maxima leaf extract; a platinum free counter electrode for dye sensitized solar cells,0,0,0,ok
database_2018_13516220/doaj_2020_2026/scraped/raw/10.53704_fujnas.v13i2.545.pdf,10.53704/fujnas.v13i2.545,A Green synthesis of copper oxide nanoparticles for improved performance in Monolithic Dye Sensitized Solar Cells,10,0,0,ok
database_2018_13516220/doaj_2020_2026/scraped/raw/10.61435_ijred.2025.61083.pdf,10.61435/ijred.2025.61083,Natural pigment-based dye-sensitized solar cells utilizing Caulerpa racemose and Gymnogongrus flabelliformis as photosensitizers,3,0,0,ok
